Using device: cuda
Label distribution: {0: 49, 1: 28, 2: 21, 3: 28, 4: 21, 5: 42, 6: 35, 7: 21, 8: 35}
Block 0 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
Block 1 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
Block 2 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
Block 3 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
Block 4 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
Block 5 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
Block 6 distribution: {0: 7, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 3, 8: 5}
(7, 40, 5, 2)
Number of categories: 9
Fold 0 | Epoch 01 - train_acc: 0.172, train_loss: 2.195, val_acc: 0.175, val_loss: 2.194
Fold 0 | Epoch 02 - train_acc: 0.175, train_loss: 2.193, val_acc: 0.175, val_loss: 2.192
Fold 0 | Epoch 03 - train_acc: 0.175, train_loss: 2.190, val_acc: 0.175, val_loss: 2.190
Fold 0 | Epoch 04 - train_acc: 0.175, train_loss: 2.188, val_acc: 0.175, val_loss: 2.187
Fold 0 | Epoch 05 - train_acc: 0.175, train_loss: 2.186, val_acc: 0.175, val_loss: 2.185
Fold 0 | Epoch 06 - train_acc: 0.175, train_loss: 2.183, val_acc: 0.175, val_loss: 2.182
Fold 0 | Epoch 07 - train_acc: 0.175, train_loss: 2.181, val_acc: 0.175, val_loss: 2.178
Fold 0 | Epoch 08 - train_acc: 0.175, train_loss: 2.178, val_acc: 0.175, val_loss: 2.172
Fold 0 | Epoch 09 - train_acc: 0.176, train_loss: 2.175, val_acc: 0.175, val_loss: 2.166
Fold 0 | Epoch 10 - train_acc: 0.175, train_loss: 2.172, val_acc: 0.175, val_loss: 2.160
Fold 0 | Epoch 11 - train_acc: 0.176, train_loss: 2.169, val_acc: 0.175, val_loss: 2.155
Epoch 00012: reducing learning rate of group 0 to 4.0000e-05.
